comparison_mode,comparison_label,map_name,post_matches,post_soldier_player_rounds,post_unique_soldier_players,post_soldier_damage,post_soldier_team_damage,post_damage_per_soldier_round,post_team_damage_per_match,pre_matches,pre_soldier_player_rounds,pre_unique_soldier_players,pre_soldier_damage,pre_soldier_team_damage,pre_damage_per_soldier_round,pre_team_damage_per_match,matches_pct_change,soldier_player_rounds_pct_change,unique_soldier_players_pct_change,soldier_damage_pct_change,soldier_team_damage_pct_change,damage_per_soldier_round_pct_change,team_damage_per_match_pct_change
equal_time,Equal Time,schtop,14,32,22,230987,41891,7218.34375,2992.214285714286,12,31,20,235910,64993,7610.0,5416.083333333333,16.666666666666668,3.225806451612903,10.0,-2.086812767580857,-35.54536642407644,-5.146599868593955,-44.75317122063694
equal_time,Equal Time,proton_l,0,0,0,0,0,0,0,2,9,9,72497,18793,8055.222222222223,9396.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,cranked,10,22,18,181246,29590,8238.454545454546,2959.0,14,36,25,292632,46428,8128.666666666667,3316.285714285714,-28.571428571428573,-38.888888888888886,-28.0,-38.06350638344405,-36.26690790040493,1.3506259180006435,-10.773671060566897
equal_time,Equal Time,openfire_lowgrens,8,32,20,235887,44455,7371.46875,5556.875,9,39,25,297698,60431,7633.282051282052,6714.555555555556,-11.11111111111111,-17.94871794871795,-20.0,-20.762987994544808,-26.43676258873757,-3.429891618351489,-17.241357912329764
equal_time,Equal Time,phantom_lg,15,34,20,262723,45968,7727.14705882353,3064.5333333333333,14,34,19,275634,59606,8106.882352941177,4257.571428571428,7.142857142857143,0.0,5.2631578947368425,-4.684110088015267,-22.88024695500453,-4.684110088015264,-28.021563824670892
equal_time,Equal Time,castra_b6,6,26,21,195207,33344,7507.961538461538,5557.333333333333,6,27,18,208469,46644,7721.074074074074,7774.0,0.0,-3.7037037037037037,16.666666666666668,-6.361617314804599,-28.513849584083697,-2.7601410576817016,-28.5138495840837
equal_time,Equal Time,alchimy_lg,13,27,23,228986,27791,8480.962962962964,2137.769230769231,13,34,23,309359,40093,9098.79411764706,3084.076923076923,0.0,-20.58823529411765,0.0,-25.980495152880636,-30.683660489362232,-6.790253155479317,-30.68366048936222
equal_time,Equal Time,stormz2_lg,10,21,17,192950,23191,9188.095238095239,2319.1,12,25,20,231026,34917,9241.04,2909.75,-16.666666666666668,-16.0,-15.0,-16.48126184931566,-33.58249563249993,-0.5729307729948397,-20.298994758999918
equal_time,Equal Time,snow_gutter,3,6,6,47757,7307,7959.5,2435.6666666666665,3,8,8,65697,14876,8212.125,4958.666666666667,0.0,-25.0,-25.0,-27.307182976391616,-50.88061306802904,-3.0762439685221548,-50.88061306802905
equal_time,Equal Time,waterwar_lg,1,2,2,12721,1338,6360.5,1338.0,2,5,4,37137,8228,7427.4,4114.0,-50.0,-60.0,-50.0,-65.74575221477232,-83.73845405930967,-14.36438053693082,-67.47690811861935
equal_time,Equal Time,shutdown2_lg2,6,36,24,262190,33422,7283.055555555556,5570.333333333333,6,37,28,263670,40281,7126.216216216216,6713.5,0.0,-2.7027027027027026,-14.285714285714286,-0.5613076952250919,-17.02787914897843,2.200878202129774,-17.027879148978432
equal_time,Equal Time,mm_crossfaded2_b9,0,0,0,0,0,0,0,1,4,4,31660,6812,7915.0,6812.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,raiden9,12,51,31,374151,62643,7336.294117647059,5220.25,12,53,34,389260,67242,7344.528301886792,5603.5,0.0,-3.7735849056603774,-8.823529411764707,-3.881467399681447,-6.8394753279200495,-0.11211318006111134,-6.8394753279200495
equal_time,Equal Time,fry_baked_lg,6,25,19,173076,33404,6923.04,5567.333333333333,7,29,22,203261,37627,7009.0,5375.285714285715,-14.285714285714286,-13.793103448275861,-13.636363636363637,-14.85036480190494,-11.22332367714673,-1.2264231702097308,3.572789043328802
equal_time,Equal Time,blutopia_tfp,4,10,10,67365,16324,6736.5,4081.0,3,8,8,61596,19437,7699.5,6479.0,33.333333333333336,25.0,25.0,9.365867913500876,-16.015846066779854,-12.5073056691993,-37.011884550084886
equal_time,Equal Time,siege,7,33,24,243944,30556,7392.242424242424,4365.142857142857,7,28,19,207915,31557,7425.535714285715,4508.142857142857,0.0,17.857142857142858,26.31578947368421,17.328716061852198,-3.1720378996736063,-0.4483621293375361,-3.1720378996736067
equal_time,Equal Time,demolish2_b6,10,43,25,332510,55229,7732.790697674419,5522.9,9,37,26,296452,55550,8012.216216216216,6172.222222222223,11.11111111111111,16.216216216216218,-3.8461538461538463,12.163183247203595,-0.5778577857785778,-3.4874934849643404,-10.520072007200731
equal_time,Equal Time,turbo_b10,1,4,4,33059,6432,8264.75,6432.0,1,4,4,27095,5291,6773.75,5291.0,0.0,0.0,0.0,22.011441225318325,21.564921564921566,22.011441225318325,21.564921564921566
equal_time,Equal Time,voltage_lg,1,4,4,28299,5273,7074.75,5273.0,1,4,4,28570,4048,7142.5,4048.0,0.0,0.0,0.0,-0.9485474273713685,30.261857707509883,-0.9485474273713685,30.261857707509883
equal_time,Equal Time,monkey_lg,14,60,32,473983,79807,7899.716666666666,5700.5,13,54,27,435566,78382,8066.037037037037,6029.384615384615,7.6923076923076925,11.11111111111111,18.51851851851852,8.82001809140291,1.8180194432395194,-2.0619837177373905,-5.454696231277587
equal_time,Equal Time,spaceape_l,1,4,4,31908,4801,7977.0,4801.0,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,mortality_lg,1,5,5,39925,4861,7985.0,4861.0,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,stowaway2_lg2,3,16,11,140183,17224,8761.4375,5741.333333333333,2,12,11,104850,10938,8737.5,5469.0,50.0,33.333333333333336,0.0,33.69861707200763,57.46937282867069,0.2739628040057225,4.979581885780454
equal_time,Equal Time,viridian,1,4,4,32868,6761,8217.0,6761.0,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,massive2_b7,2,8,7,61934,9027,7741.75,4513.5,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,congestus_lg,2,8,8,47664,15048,5958.0,7524.0,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,asti_r,1,17,9,84557,25194,4973.941176470588,25194.0,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,toasted_b16,5,34,23,248685,37820,7314.264705882353,7564.0,0,0,0,0,0,0,0,,,,,,,
equal_match_count,Equal Match Count,schtop,14,32,22,230987,41891,7218.34375,2992.214285714286,13,35,21,266843,69929,7624.085714285714,5379.153846153846,7.6923076923076925,-8.571428571428571,4.761904761904762,-13.4371147078994,-40.09495345278783,-5.321844211764966,-44.373885349017264
equal_match_count,Equal Match Count,proton_l,0,0,0,0,0,0,0,2,9,9,72497,18793,8055.222222222223,9396.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_match_count,Equal Match Count,cranked,10,22,18,181246,29590,8238.454545454546,2959.0,14,36,25,292632,46428,8128.666666666667,3316.285714285714,-28.571428571428573,-38.888888888888886,-28.0,-38.06350638344405,-36.26690790040493,1.3506259180006435,-10.773671060566897
equal_match_count,Equal Match Count,phantom_lg,15,34,20,262723,45968,7727.14705882353,3064.5333333333333,15,36,20,298482,62034,8291.166666666666,4135.6,0.0,-5.555555555555555,0.0,-11.980286918474146,-25.898700712512493,-6.802656737207909,-25.8987007125125
equal_match_count,Equal Match Count,openfire_lowgrens,8,32,20,235887,44455,7371.46875,5556.875,9,39,25,297698,60431,7633.282051282052,6714.555555555556,-11.11111111111111,-17.94871794871795,-20.0,-20.762987994544808,-26.43676258873757,-3.429891618351489,-17.241357912329764
equal_match_count,Equal Match Count,alchimy_lg,13,27,23,228986,27791,8480.962962962964,2137.769230769231,14,36,24,331443,42726,9206.75,3051.8571428571427,-7.142857142857143,-25.0,-4.166666666666667,-30.91240424447039,-34.95529654074802,-7.88320565929385,-29.951857813113243
equal_match_count,Equal Match Count,stormz2_lg,10,21,17,192950,23191,9188.095238095239,2319.1,13,28,21,258989,37314,9249.607142857143,2870.3076923076924,-23.076923076923077,-25.0,-19.047619047619047,-25.4987663568723,-37.84906469421665,-0.6650218091630642,-19.20378410248165
equal_match_count,Equal Match Count,castra_b6,6,26,21,195207,33344,7507.961538461538,5557.333333333333,6,27,18,208469,46644,7721.074074074074,7774.0,0.0,-3.7037037037037037,16.666666666666668,-6.361617314804599,-28.513849584083697,-2.7601410576817016,-28.5138495840837
equal_match_count,Equal Match Count,snow_gutter,3,6,6,47757,7307,7959.5,2435.6666666666665,4,10,10,81394,16539,8139.4,4134.75,-25.0,-40.0,-40.0,-41.326141976067035,-55.81957796722897,-2.210236626778382,-41.09277062297197
equal_match_count,Equal Match Count,waterwar_lg,1,2,2,12721,1338,6360.5,1338.0,2,5,4,37137,8228,7427.4,4114.0,-50.0,-60.0,-50.0,-65.74575221477232,-83.73845405930967,-14.36438053693082,-67.47690811861935
equal_match_count,Equal Match Count,shutdown2_lg2,6,36,24,262190,33422,7283.055555555556,5570.333333333333,6,37,28,263670,40281,7126.216216216216,6713.5,0.0,-2.7027027027027026,-14.285714285714286,-0.5613076952250919,-17.02787914897843,2.200878202129774,-17.027879148978432
equal_match_count,Equal Match Count,mm_crossfaded2_b9,0,0,0,0,0,0,0,1,4,4,31660,6812,7915.0,6812.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_match_count,Equal Match Count,siege,7,33,24,243944,30556,7392.242424242424,4365.142857142857,8,32,20,241896,35944,7559.25,4493.0,-12.5,3.125,20.0,0.8466448391044085,-14.989984420209215,-2.2093140954139097,-2.845696480239108
equal_match_count,Equal Match Count,blutopia_tfp,4,10,10,67365,16324,6736.5,4081.0,4,10,10,77274,21216,7727.4,5304.0,0.0,0.0,0.0,-12.823200559049615,-23.058069381598795,-12.823200559049612,-23.058069381598795
equal_match_count,Equal Match Count,raiden9,12,51,31,374151,62643,7336.294117647059,5220.25,12,53,34,389260,67242,7344.528301886792,5603.5,0.0,-3.7735849056603774,-8.823529411764707,-3.881467399681447,-6.8394753279200495,-0.11211318006111134,-6.8394753279200495
equal_match_count,Equal Match Count,fry_baked_lg,6,25,19,173076,33404,6923.04,5567.333333333333,7,29,22,203261,37627,7009.0,5375.285714285715,-14.285714285714286,-13.793103448275861,-13.636363636363637,-14.85036480190494,-11.22332367714673,-1.2264231702097308,3.572789043328802
equal_match_count,Equal Match Count,monkey_lg,14,60,32,473983,79807,7899.716666666666,5700.5,14,58,28,469536,83552,8095.448275862069,5968.0,0.0,3.4482758620689653,14.285714285714286,0.9471052272882164,-4.482238605898123,-2.417798280288061,-4.482238605898123
equal_match_count,Equal Match Count,demolish2_b6,10,43,25,332510,55229,7732.790697674419,5522.9,9,37,26,296452,55550,8012.216216216216,6172.222222222223,11.11111111111111,16.216216216216218,-3.8461538461538463,12.163183247203595,-0.5778577857785778,-3.4874934849643404,-10.520072007200731
equal_match_count,Equal Match Count,stowaway2_lg2,3,16,11,140183,17224,8761.4375,5741.333333333333,3,18,15,159466,16729,8859.222222222223,5576.333333333333,0.0,-11.11111111111111,-26.666666666666668,-12.092232827060315,2.9589335883794607,-1.1037619304428576,2.958933588379461
equal_match_count,Equal Match Count,turbo_b10,1,4,4,33059,6432,8264.75,6432.0,1,4,4,27095,5291,6773.75,5291.0,0.0,0.0,0.0,22.011441225318325,21.564921564921566,22.011441225318325,21.564921564921566
equal_match_count,Equal Match Count,voltage_lg,1,4,4,28299,5273,7074.75,5273.0,1,4,4,28570,4048,7142.5,4048.0,0.0,0.0,0.0,-0.9485474273713685,30.261857707509883,-0.9485474273713685,30.261857707509883
equal_match_count,Equal Match Count,spaceape_l,1,4,4,31908,4801,7977.0,4801.0,0,0,0,0,0,0,0,,,,,,,
equal_match_count,Equal Match Count,mortality_lg,1,5,5,39925,4861,7985.0,4861.0,0,0,0,0,0,0,0,,,,,,,
equal_match_count,Equal Match Count,viridian,1,4,4,32868,6761,8217.0,6761.0,0,0,0,0,0,0,0,,,,,,,
equal_match_count,Equal Match Count,massive2_b7,2,8,7,61934,9027,7741.75,4513.5,0,0,0,0,0,0,0,,,,,,,
equal_match_count,Equal Match Count,congestus_lg,2,8,8,47664,15048,5958.0,7524.0,0,0,0,0,0,0,0,,,,,,,
