steam_id,discord_id,discord_name,display_name,game_name,total_matches,total_class_rounds,total_seconds,total_minutes,total_hours,scout_hours,sniper_hours,soldier_hours,demoman_hours,medic_hours,hwguy_hours,pyro_hours,spy_hours,engineer_hours,kills,deaths_by_enemy,deaths_by_team,suicides,enemy_damage,team_damage,self_damage,team_kills,flag_captures,flag_touches,conc_jumps,suicides_per_match,team_damage_per_match,team_kills_per_match,first_match_ts,last_match_ts,first_match_date,last_match_date
STEAM_0:0:661896,1291623909950754817,Moreno,Moreno,rQ.Moreno,936,2031,1649810,27496.83,458.28,1.95,0.17,51.49,53.01,219.87,92.47,0.0,1.16,38.07,75220,61172,8476,6829,14122468,2208279,1657071,9105,1281,14233,83836,7.296,2359.27,9.728,1758599141,1783227853,"2025-09-23 03:45:41","2026-07-05 05:04:13"
STEAM_0:0:18619424,468578577537826831,rufi0,rufi0,"|c4| rufi0",829,2015,1435697,23928.28,398.8,7.55,0.08,98.72,92.92,179.47,14.89,0.0,2.43,2.73,64525,63485,7778,8745,12214206,2984003,3155880,11852,2039,17019,98855,10.549,3599.52,14.297,1758766872,1783044091,"2025-09-25 02:21:12","2026-07-03 02:01:31"
STEAM_0:0:215536322,742572718095859793,killu,killu,vatos-locos4life,798,1639,1430904,23848.4,397.47,0.22,0.0,128.38,21.68,196.45,14.74,0.0,0.0,36.01,45388,49609,7770,4518,9180194,1667059,2253976,6685,1630,10946,63137,5.662,2089.05,8.377,1758766872,1783197191,"2025-09-25 02:21:12","2026-07-04 20:33:11"
STEAM_0:1:160553225,384845530712506368,Emilio!.ar,Emilio!.ar,"venny . sucks my balls !!!",671,1824,1127775,18796.25,313.27,50.88,0.0,52.34,6.34,98.74,6.04,0.0,0.04,98.89,36339,66363,6486,4160,7208437,1304966,1088049,4893,1945,16660,107500,6.2,1944.81,7.292,1759112148,1783110819,"2025-09-29 02:15:48","2026-07-03 20:33:39"
STEAM_0:1:8914480,126107614240178176,Carbon,Carbon,"rQ. TFC FUGUTIVE",660,1420,1165011,19416.85,323.61,5.17,0.0,67.49,9.03,151.77,37.42,0.0,0.38,52.36,41097,46284,6983,4175,8179803,1129322,1267401,4568,1046,9682,70749,6.326,1711.09,6.921,1758599141,1783200109,"2025-09-23 03:45:41","2026-07-04 21:21:49"
STEAM_0:0:36944510,185013986557820928,SERuM,SERuM,"stiLL ＃ SERuM",584,1192,1041180,17353.0,289.22,0.34,0.0,32.36,0.0,144.76,47.21,0.0,0.01,64.52,32480,38517,5202,2371,6615850,1002451,524788,3864,490,5682,46396,4.06,1716.53,6.616,1759112148,1783200109,"2025-09-29 02:15:48","2026-07-04 21:21:49"
STEAM_0:1:1058823,183763294996135936,spek,spek,"spek ＃freebuck",541,1267,957786,15963.1,266.05,8.13,0.01,73.29,35.59,118.52,17.98,0.0,0.23,12.3,36309,39965,4934,3873,7226847,1180210,1035745,4505,1101,8950,46472,7.159,2181.53,8.327,1759026660,1783222352,"2025-09-28 02:31:00","2026-07-05 03:32:32"
STEAM_0:0:22020435,705975829410217996,"KuKu Bird","KuKu Bird","little freakl3",538,1232,930417,15506.95,258.45,1.7,0.14,66.48,32.92,120.03,18.73,1.08,1.46,15.76,38678,38037,5074,4974,7590835,1387431,1478823,4817,1096,8032,41983,9.245,2578.87,8.954,1758599141,1782967968,"2025-09-23 03:45:41","2026-07-02 04:52:48"
STEAM_0:1:113066980,451243270065094677,HanzzYolo,HanzzYolo,|-|4Nzz7010,489,1053,862959,14382.65,239.71,0.28,0.0,62.92,2.78,116.5,19.83,0.0,0.19,37.22,28531,30817,4598,3666,5839067,668998,1316345,2573,681,5928,35862,7.497,1368.09,5.262,1759191171,1783219873,"2025-09-30 00:12:51","2026-07-05 02:51:13"
STEAM_0:1:224817525,389593841390583809,enrique,enrique,tittywho,422,1075,726799,12113.32,201.89,10.24,0.07,30.97,6.78,84.83,49.22,0.0,0.85,18.92,37495,37877,5717,3302,7106944,954189,1142773,4271,1150,9647,51670,7.825,2261.11,10.121,1766689301,1782699568,"2025-12-25 19:01:41","2026-06-29 02:19:28"
STEAM_0:1:54513044,717554114300739675,jas0n5477,jas0n5477,theycallme-jason,403,1061,689850,11497.5,191.63,20.08,0.03,11.78,32.48,72.55,6.93,0.0,0.1,47.69,22494,36580,3889,2509,4149553,1012868,447773,4064,967,9073,58155,6.226,2513.32,10.084,1759546219,1782690020,"2025-10-04 02:50:19","2026-06-28 23:40:20"
STEAM_0:0:7896233,760246454357983252,smile,smile,{GTO}Nomad,388,1056,653295,10888.25,181.47,3.55,0.0,32.84,35.52,80.84,14.71,0.0,2.26,11.75,30428,32595,4024,3417,5951257,1137562,837922,4405,1269,9075,48273,8.807,2931.86,11.353,1759112148,1780951554,"2025-09-29 02:15:48","2026-06-08 20:45:54"
STEAM_0:1:17947198,1433938536117178494,plin/braco,plin/braco,welos,360,839,631206,10520.1,175.34,9.44,0.0,28.97,1.35,70.2,19.21,1.58,5.31,39.28,23893,26929,3967,2920,4775526,821207,665884,3265,672,5594,31857,8.111,2281.13,9.069,1759185746,1783227853,"2025-09-29 22:42:26","2026-07-05 05:04:13"
STEAM_0:1:11788346,699893964974587995,kix,kix,kix,356,780,633222,10553.7,175.9,1.32,0.09,50.38,24.47,84.47,13.99,0.0,0.05,1.12,23345,24407,3568,3338,4490367,914805,1221339,3729,745,6543,34485,9.376,2569.68,10.475,1759191171,1783222352,"2025-09-30 00:12:51","2026-07-05 03:32:32"
STEAM_0:1:59994,696155341951598649,"asie slater","asie slater",tiredrazor,342,735,612052,10200.87,170.01,0.03,0.0,26.09,22.57,73.64,2.88,0.0,8.87,35.93,19365,21765,3176,2428,3743901,828025,582992,3187,369,3118,19045,7.099,2421.13,9.319,1759020330,1783227853,"2025-09-28 00:45:30","2026-07-05 05:04:13"
STEAM_0:0:84622,308791843057958912,MightyMouse,MightyMouse,MightyMouse-bbL,336,985,549814,9163.57,152.73,3.98,0.13,38.94,20.13,62.92,20.34,0.01,0.85,5.42,33526,34430,2957,2345,6871255,994659,701981,4320,1359,11869,60677,6.979,2960.29,12.857,1759020330,1783216302,"2025-09-28 00:45:30","2026-07-05 01:51:42"
STEAM_0:0:12161876,1096314509565640724,Ghosty,Ghosty,"％i get slayed",326,807,572560,9542.67,159.04,12.11,0.0,30.53,1.1,64.5,14.63,0.02,0.15,36.02,20489,25225,3651,2901,4356598,647363,736503,2480,590,4717,29050,8.899,1985.78,7.607,1764546927,1783227853,"2025-11-30 23:55:27","2026-07-05 05:04:13"
STEAM_0:1:45567960,737481545216163891,dullrazor,dullrazor,"|c4| dullrazor",311,642,557464,9291.07,154.85,0.0,0.08,22.52,0.39,71.43,1.93,0.0,0.23,58.27,12915,20681,2281,2182,2614206,411114,583085,1183,187,2091,19457,7.016,1321.91,3.804,1758599141,1781494128,"2025-09-23 03:45:41","2026-06-15 03:28:48"
STEAM_0:1:1037349,196477372315336710,dirk,dirk,"＃FREEBIRD",306,650,546554,9109.23,151.82,1.11,0.0,30.21,21.72,74.35,23.78,0.0,0.04,0.62,24989,19754,2312,1943,4828411,808581,622221,3291,594,5236,25469,6.35,2642.42,10.755,1759286652,1783225023,"2025-10-01 02:44:12","2026-07-05 04:17:03"
STEAM_0:1:8490,186263176206090240,Dospac,Dospac,theycallme-k,297,610,531146,8852.43,147.54,1.11,0.0,35.81,1.89,72.68,20.06,0.0,0.0,15.99,18748,18749,2829,1972,3754124,555635,672531,2313,578,4134,27333,6.64,1870.82,7.788,1760476399,1783038697,"2025-10-14 21:13:19","2026-07-03 00:31:37"
STEAM_0:1:57115,339782214562873344,KOOL-AiD,KOOL-AiD,"hello? catgif incel pls",277,622,488917,8148.62,135.81,7.41,0.0,41.83,12.74,59.4,9.82,0.0,0.0,4.61,19923,19774,2733,2279,3855069,698740,671033,3001,966,6188,27683,8.227,2522.53,10.834,1759023794,1783128818,"2025-09-28 01:43:14","2026-07-04 01:33:38"
STEAM_0:0:284679,213100200028405760,chefmou7h^,chefmou7h^,hef,263,563,460122,7668.7,127.81,1.32,0.0,24.9,11.62,61.88,5.35,0.0,0.02,22.72,14548,17194,3133,2553,2920973,705726,771278,2699,344,2962,23778,9.707,2683.37,10.262,1760928480,1771645270,"2025-10-20 02:48:00","2026-02-21 03:41:10"
STEAM_0:0:26813481,311769927432404994,Nemsy,Nemsy,"{][ NEMSY ][}",256,765,435078,7251.3,120.86,6.35,0.0,20.95,28.48,50.71,2.02,0.0,0.54,11.81,22760,26250,2688,2232,4476010,951037,629149,3995,824,6827,41366,8.719,3714.99,15.605,1759637093,1782967968,"2025-10-05 04:04:53","2026-07-02 04:52:48"
STEAM_0:0:174273074,323555053363265536,craig,craig,"wtf however",254,552,454014,7566.9,126.12,2.83,0.0,32.06,13.47,59.01,14.73,0.02,0.03,3.97,19461,18386,2568,1883,3701650,579693,612485,2261,486,3865,21787,7.413,2282.26,8.902,1758949997,1783216302,"2025-09-27 05:13:17","2026-07-05 01:51:42"
STEAM_0:0:26635064,310929767673102337,DIVISION_WaGoNWh33L,DIVISION_WaGoNWh33L,{GTO}WaGGleS,237,734,361327,6022.12,100.37,10.36,0.0,10.56,24.73,30.42,4.51,0.0,1.3,18.49,16198,26306,2810,1711,3192538,690539,331174,2836,909,5984,33096,7.219,2913.67,11.966,1759275511,1783117191,"2025-09-30 23:38:31","2026-07-03 22:19:51"
STEAM_0:1:1752496,291754504158838784,AuthenticNY,AuthenticNY,"AUTHENTIC [220]",236,611,394646,6577.43,109.62,3.42,0.0,13.04,10.52,46.76,35.5,0.0,0.12,0.25,24846,19462,2614,1656,4745485,843424,438201,3531,684,4661,25280,7.017,3573.83,14.962,1759114506,1783227853,"2025-09-29 02:55:06","2026-07-05 05:04:13"
STEAM_0:1:3613037,270636499190546432,CheeseFromTFC,CheeseFromTFC,k,235,515,410878,6847.97,114.13,14.54,0.0,14.77,32.7,40.84,8.0,0.0,0.03,3.25,16509,18701,2045,1849,3042543,860653,541786,3425,852,6141,32452,7.868,3662.35,14.574,1763280020,1783041198,"2025-11-16 08:00:20","2026-07-03 01:13:18"
STEAM_0:0:90069,700890663385956393,wheaties,wheaties,rufi0,226,644,389971,6499.52,108.33,4.03,0.0,24.6,24.53,47.41,5.81,0.0,0.14,1.81,21947,21010,2141,1920,4215616,751559,545654,3315,907,6495,33582,8.496,3325.48,14.668,1760227292,1783128818,"2025-10-12 00:01:32","2026-07-04 01:33:38"
STEAM_0:0:426568628,305373873409622017,fatal,fatal,"i have better than luck",222,626,394811,6580.18,109.67,3.26,0.07,26.44,21.2,49.02,8.61,0.01,0.31,0.75,23731,19559,2220,2440,4492147,742361,786171,2895,640,5299,25597,10.991,3343.97,13.041,1759714856,1783114375,"2025-10-06 01:40:56","2026-07-03 21:32:55"
STEAM_0:1:700333,914321613862875176,karms,karms,{USA}kman,220,488,387103,6451.72,107.53,0.98,0.0,41.1,4.23,50.16,4.37,0.0,1.54,5.15,14046,15122,2413,1947,2914015,470269,746314,1968,504,3599,20941,8.85,2137.59,8.945,1767664322,1781739801,"2026-01-06 01:52:02","2026-06-17 23:43:21"
STEAM_0:1:1691576,314601291403886599,Yosh,Yosh,wheatus,201,575,337663,5627.72,93.8,4.1,0.0,24.88,7.79,39.59,9.78,0.0,0.49,7.17,16457,19103,2135,1689,3357608,533103,480981,2283,572,5175,31200,8.403,2652.25,11.358,1759034176,1783225023,"2025-09-28 04:36:16","2026-07-05 04:17:03"
STEAM_0:0:1648744,404362334988140554,omeN,omeN,omeN,198,406,352627,5877.12,97.95,0.01,0.0,27.97,13.72,48.04,3.12,0.0,0.0,5.09,12540,12378,2118,1876,2494857,622225,721058,2390,320,2663,16628,9.475,3142.55,12.071,1758766872,1782967968,"2025-09-25 02:21:12","2026-07-02 04:52:48"
STEAM_0:1:19081858,248225768683995136,curtwild,curtwild,CurtWild.es,197,457,342464,5707.73,95.13,2.58,0.0,43.3,0.27,44.8,2.15,0.0,0.06,1.98,13407,14671,2043,1821,2741040,420426,566510,1904,610,4417,22336,9.244,2134.14,9.665,1760023097,1782355193,"2025-10-09 15:18:17","2026-06-25 02:39:53"
STEAM_0:1:10811291,241378469454413834,Death,Death,oK,193,404,345976,5766.27,96.1,0.2,0.0,33.71,3.66,45.87,12.11,0.0,0.0,0.55,14693,11683,1758,1386,2899367,379826,499694,1399,439,3225,15030,7.181,1968.01,7.249,1758599141,1762587025,"2025-09-23 03:45:41","2025-11-08 07:30:25"
STEAM_0:1:5107,356923411567738881,Nomad,Nomad,{GTO}Nomad,173,455,295083,4918.05,81.97,2.4,0.0,9.68,20.18,35.95,6.57,0.21,0.47,6.5,12611,14842,1363,1370,2470489,480292,321359,1846,455,3417,19478,7.919,2776.25,10.671,1758953282,1783030453,"2025-09-27 06:08:02","2026-07-02 22:14:13"
STEAM_0:0:855795148,1248008548625944659,ari,ari,zilbO,170,479,295058,4917.63,81.96,7.36,0.0,26.98,5.17,31.89,8.6,0.0,0.38,1.58,14127,15735,1623,1072,2836850,445484,385421,1968,541,3803,23144,6.306,2620.49,11.576,1759530225,1782855312,"2025-10-03 22:23:45","2026-06-30 21:35:12"
STEAM_0:1:7258560,562854514860752897,SLICK,SLICK,[220]SLICK,166,410,291670,4861.17,81.02,3.36,0.0,11.21,24.65,34.64,5.31,0.37,0.13,1.35,11642,12967,1321,1600,2079951,564879,428946,2233,466,4033,19447,9.639,3402.89,13.452,1758599141,1782358893,"2025-09-23 03:45:41","2026-06-25 03:41:33"
STEAM_0:0:25104040,276840187768864768,nano.ar,nano.ar,o.o7,164,357,291821,4863.68,81.06,1.92,0.01,6.09,0.02,38.39,2.91,0.15,0.0,31.58,7567,11292,1426,614,1446189,222945,101923,782,106,1630,14376,3.744,1359.42,4.768,1763364075,1768613544,"2025-11-17 07:21:15","2026-01-17 01:32:24"
STEAM_0:0:1260882,196499758867546113,Erb,Erb,pacquiao,163,336,290776,4846.27,80.77,0.01,0.0,2.6,0.8,39.42,12.65,0.0,0.46,24.83,10790,10087,1663,909,1993833,328519,135111,1372,238,1892,12276,5.577,2015.45,8.417,1760253532,1783227853,"2025-10-12 07:18:52","2026-07-05 05:04:13"
STEAM_0:0:645065,207485939050741760,Force,Force,"|FoE| w0maniz3r-TPF-",150,323,266612,4443.53,74.06,2.0,0.0,9.63,25.12,34.35,0.15,0.0,0.03,2.78,10297,9052,1147,941,1848601,544894,236775,2329,215,1896,11433,6.273,3632.63,15.527,1760663322,1783036142,"2025-10-17 01:08:42","2026-07-02 23:49:02"
STEAM_0:1:104399409,632763785446424577,coca,coca,trasscoca,143,401,217774,3629.57,60.49,10.15,0.0,6.16,5.14,14.94,10.54,0.0,0.01,13.54,8852,14273,1422,900,1643013,289814,139463,1227,520,4342,23890,6.294,2026.67,8.58,1759535385,1782699568,"2025-10-03 23:49:45","2026-06-29 02:19:28"
STEAM_0:1:5622,303845825476558859,dougtck,dougtck,Doug[65+],143,335,245807,4096.78,68.28,5.26,0.03,10.88,18.93,27.27,2.77,0.0,0.0,3.13,10284,11583,1353,1048,1863951,547388,291893,2174,526,3369,17093,7.329,3827.89,15.203,1758956059,1782951508,"2025-09-27 06:54:19","2026-07-02 00:18:28"
STEAM_0:0:144175,1366425812458274888,Jagz,Jagz,"lil jagg3r",138,293,247617,4126.95,68.78,0.79,0.0,16.41,9.72,33.63,0.75,0.0,0.02,7.47,8320,9252,1258,865,1614992,368022,300057,1539,196,1877,11436,6.268,2666.83,11.152,1759773483,1783209914,"2025-10-06 17:58:03","2026-07-05 00:05:14"
STEAM_0:1:104939,797227925162033202,Naz,Naz,"etfc|. N a z",135,271,244062,4067.7,67.8,0.0,0.0,23.68,0.75,33.99,2.0,0.0,0.0,7.39,8400,8477,1431,849,1717475,267468,345285,1105,214,1793,9852,6.289,1981.24,8.185,1759532989,1783124105,"2025-10-03 23:09:49","2026-07-04 00:15:05"
STEAM_0:0:125453,193225438355652608,"the Paper","the Paper","the Paper",130,330,223178,3719.63,61.99,0.07,0.87,8.73,4.5,28.37,3.96,0.0,0.02,15.48,8877,9902,934,1211,1597705,242827,260279,526,113,1251,8576,9.315,1867.9,4.046,1758599141,1782529226,"2025-09-23 03:45:41","2026-06-27 03:00:26"
STEAM_0:0:243368586,929631116044955648,KingOfPests,KingOfPests,rQ.K.o.p.iA,123,267,219335,3655.58,60.93,0.04,0.0,25.33,1.0,28.83,1.99,0.0,0.11,3.63,6976,8292,1218,797,1460316,237936,366573,840,251,1822,9560,6.48,1934.44,6.829,1758599141,1781067026,"2025-09-23 03:45:41","2026-06-10 04:50:26"
STEAM_0:1:476754,718663195077640233,m3d^,m3d^,m3d^,118,308,210718,3511.97,58.53,2.25,0.0,11.06,11.49,24.46,3.51,0.0,1.22,4.55,10031,9589,1234,917,1833882,370346,270706,1358,269,2539,13132,7.771,3138.53,11.508,1761520379,1781739801,"2025-10-26 23:12:59","2026-06-17 23:43:21"
STEAM_0:1:3810501,544041066966548510,cigs,cigs,Cigs,112,226,201235,3353.92,55.9,0.09,0.0,7.69,13.08,27.78,2.51,0.0,0.0,4.75,6136,6433,757,508,1158393,283681,150045,1213,146,1195,7585,4.536,2532.87,10.83,1759023794,1777686586,"2025-09-28 01:43:14","2026-05-02 01:49:46"
STEAM_0:1:512678151,704204162958753892,Sandro7(oh)2,Sandro7(oh)2,sandro,102,320,131285,2188.08,36.47,1.77,0.0,10.35,12.8,8.88,0.57,0.0,0.36,1.75,6397,10427,1031,860,1271303,279317,212951,1100,343,2448,15306,8.431,2738.4,10.784,1759112148,1783124105,"2025-09-29 02:15:48","2026-07-04 00:15:05"
STEAM_0:0:6409859,346077781819654144,NOOKIE,NOOKIE,NOOKIE,101,209,179221,2987.02,49.78,0.01,0.0,17.12,2.1,22.84,1.53,0.0,0.46,5.72,5084,6267,1011,684,1046275,165196,250079,557,112,1099,6200,6.772,1635.6,5.515,1758953282,1783044091,"2025-09-27 06:08:02","2026-07-03 02:01:31"
STEAM_0:0:840023431,1149892238135013457,"➁🅃🄾🄴🅂 👣","➁🅃🄾🄴🅂 👣","walking dog brb",98,199,175039,2917.32,48.62,0.08,0.0,1.69,0.0,24.21,0.0,0.0,0.04,22.6,3844,6121,985,681,737742,138461,99446,512,77,779,5065,6.949,1412.87,5.224,1759359866,1783126439,"2025-10-01 23:04:26","2026-07-04 00:53:59"
STEAM_0:0:116972,396870697915252746,RedAlert,RedAlert,RedAlert,90,204,162445,2707.42,45.12,2.35,0.0,12.88,5.96,19.7,0.74,0.0,0.0,3.5,5923,6851,960,693,1195056,234433,221946,902,205,1476,9268,7.7,2604.81,10.022,1758942947,1782782386,"2025-09-27 03:15:47","2026-06-30 01:19:46"
