steam_id,discord_id,discord_name,display_name,game_name,soldier_matches,soldier_rounds,soldier_seconds,soldier_minutes,soldier_hours,suicides_as_soldier,team_damage_as_soldier,team_kills_as_soldier,enemy_damage_as_soldier,self_damage_as_soldier,suicides_per_match,team_damage_per_match,team_kills_per_match,first_match_ts,last_match_ts,first_match_date,last_match_date
STEAM_0:0:215536322,742572718095859793,killu,killu,vatos-locos4life,529,536,462161,7702.68,128.38,2546,749775,2788,3749137,1946478,4.813,1417.34,5.27,1758959529,1783197191,"2025-09-27 07:52:09","2026-07-04 20:33:11"
STEAM_0:0:18619424,468578577537826831,rufi0,rufi0,"|c4| rufi0",402,421,355402,5923.37,98.72,3786,731616,2585,3634752,2243879,9.418,1819.94,6.43,1758766872,1783044091,"2025-09-25 02:21:12","2026-07-03 02:01:31"
STEAM_0:1:1058823,183763294996135936,spek,spek,"spek ＃freebuck",296,315,262960,4382.67,73.04,1852,391304,1276,2466308,751938,6.257,1321.97,4.311,1759026660,1783044091,"2025-09-28 02:31:00","2026-07-03 02:01:31"
STEAM_0:0:22020435,705975829410217996,"KuKu Bird","KuKu Bird","little freakl3",285,302,239343,3989.05,66.48,2178,394354,1283,2497673,986196,7.642,1383.7,4.502,1758599141,1782189609,"2025-09-23 03:45:41","2026-06-23 04:40:09"
STEAM_0:1:8914480,126107614240178176,Carbon,Carbon,"rQ. TFC FUGUTIVE",275,282,242948,4049.13,67.49,1794,320942,1109,2107837,982225,6.524,1167.06,4.033,1758599141,1783200109,"2025-09-23 03:45:41","2026-07-04 21:21:49"
STEAM_0:1:113066980,451243270065094677,HanzzYolo,HanzzYolo,|-|4Nzz7010,268,275,225597,3759.95,62.67,1851,261991,966,2003787,1006401,6.907,977.58,3.604,1759191171,1782961316,"2025-09-30 00:12:51","2026-07-02 03:01:56"
STEAM_0:0:661896,1291623909950754817,Moreno,Moreno,rQ.Moreno,233,239,183578,3059.63,50.99,1585,306322,1105,1933537,781373,6.803,1314.69,4.742,1758599141,1783044091,"2025-09-23 03:45:41","2026-07-03 02:01:31"
STEAM_0:1:160553225,384845530712506368,Emilio!.ar,Emilio!.ar,"venny . sucks my balls !!!",228,232,188439,3140.65,52.34,987,328924,1148,1475868,719829,4.329,1442.65,5.035,1759459542,1783110819,"2025-10-03 02:45:42","2026-07-03 20:33:39"
STEAM_0:1:11788346,699893964974587995,kix,kix,kix,202,206,179256,2987.6,49.79,1875,288950,1137,1684087,957944,9.282,1430.45,5.629,1759278328,1783200109,"2025-10-01 00:25:28","2026-07-04 21:21:49"
STEAM_0:0:7896233,760246454357983252,smile,smile,{GTO}Nomad,177,184,118236,1970.6,32.84,1050,261219,922,1479936,468886,5.932,1475.81,5.209,1759191171,1780694359,"2025-09-30 00:12:51","2026-06-05 21:19:19"
STEAM_0:1:19081858,248225768683995136,curtwild,curtwild,CurtWild.es,175,175,155873,2597.88,43.3,1128,270106,1130,1540926,505399,6.446,1543.46,6.457,1760023097,1782352316,"2025-10-09 15:18:17","2026-06-25 01:51:56"
STEAM_0:1:57115,339782214562873344,KOOL-AiD,KOOL-AiD,"hello? catgif incel pls",175,175,150587,2509.78,41.83,1354,267467,1121,1559024,534860,7.737,1528.38,6.406,1759275511,1783128818,"2025-09-30 23:38:31","2026-07-04 01:33:38"
STEAM_0:1:700333,914321613862875176,karms,karms,{USA}kman,172,173,147943,2465.72,41.1,1183,262730,1014,1483506,645693,6.878,1527.5,5.895,1767757737,1781739801,"2026-01-07 03:48:57","2026-06-17 23:43:21"
STEAM_0:0:84622,308791843057958912,MightyMouse,MightyMouse,MightyMouse-bbL,160,161,138389,2306.48,38.44,757,245990,1015,1648030,400214,4.731,1537.44,6.344,1759798655,1783197191,"2025-10-07 00:57:35","2026-07-04 20:33:11"
STEAM_0:1:224817525,389593841390583809,enrique,enrique,tittywho,159,160,111506,1858.43,30.97,1334,280040,1138,1291440,786085,8.39,1761.26,7.157,1766689301,1782699568,"2025-12-25 19:01:41","2026-06-29 02:19:28"
STEAM_0:1:8490,186263176206090240,Dospac,Dospac,theycallme-k,145,146,128923,2148.72,35.81,1091,202937,793,1098431,547434,7.524,1399.57,5.469,1761353690,1783015084,"2025-10-25 00:54:50","2026-07-02 17:58:04"
STEAM_0:0:36944510,185013986557820928,SERuM,SERuM,"stiLL ＃ SERuM",138,139,116511,1941.85,32.36,520,157874,543,877838,307755,3.768,1144.01,3.935,1759191171,1783200109,"2025-09-30 00:12:51","2026-07-04 21:21:49"
STEAM_0:0:12161876,1096314509565640724,Ghosty,Ghosty,"％i get slayed",135,139,109897,1831.62,30.53,1147,187916,709,942482,483395,8.496,1391.97,5.252,1764546927,1782967968,"2025-11-30 23:55:27","2026-07-02 04:52:48"
STEAM_0:0:174273074,323555053363265536,craig,craig,"wtf however",133,137,115411,1923.52,32.06,850,169786,617,1173779,447182,6.391,1276.59,4.639,1758949997,1783033146,"2025-09-27 05:13:17","2026-07-02 22:59:06"
STEAM_0:1:10811291,241378469454413834,Death,Death,oK,131,140,121366,2022.77,33.71,912,193480,645,1201786,426625,6.962,1476.95,4.924,1758599141,1762587025,"2025-09-23 03:45:41","2025-11-08 07:30:25"
STEAM_0:1:1037349,196477372315336710,dirk,dirk,"＃FREEBIRD",120,122,107864,1797.73,29.96,875,182928,692,1112083,444652,7.292,1524.4,5.767,1759288980,1782961316,"2025-10-01 03:23:00","2026-07-02 03:01:56"
STEAM_0:0:426568628,305373873409622017,fatal,fatal,"i have better than luck",116,124,95171,1586.18,26.44,976,210296,682,1142495,496415,8.414,1812.9,5.879,1759798655,1783114375,"2025-10-07 00:57:35","2026-07-03 21:32:55"
STEAM_0:1:17947198,1433938536117178494,plin/braco,plin/braco,welos,116,119,101535,1692.25,28.2,836,212572,751,833678,385817,7.207,1832.52,6.474,1759185746,1782013254,"2025-09-29 22:42:26","2026-06-21 03:40:54"
STEAM_0:0:26813481,311769927432404994,Nemsy,Nemsy,"{][ NEMSY ][}",115,118,75416,1256.93,20.95,687,188890,704,917313,367548,5.974,1642.52,6.122,1759775978,1782967968,"2025-10-06 18:39:38","2026-07-02 04:52:48"
STEAM_0:0:284679,213100200028405760,chefmou7h^,chefmou7h^,hef,115,120,89650,1494.17,24.9,1098,204373,740,771752,533315,9.548,1777.16,6.435,1760931049,1771556847,"2025-10-20 03:30:49","2026-02-20 03:07:27"
STEAM_0:0:1648744,404362334988140554,omeN,omeN,omeN,114,117,100688,1678.13,27.97,1114,202842,703,920010,585995,9.772,1779.32,6.167,1759031867,1782964028,"2025-09-28 03:57:47","2026-07-02 03:47:08"
STEAM_0:0:855795148,1248008548625944659,ari,ari,zilbO,113,113,97119,1618.65,26.98,532,162423,655,907020,294047,4.708,1437.37,5.796,1759532989,1782855312,"2025-10-03 23:09:49","2026-06-30 21:35:12"
STEAM_0:1:1691576,314601291403886599,Yosh,Yosh,wheatus,112,112,87776,1462.93,24.38,694,155699,617,913717,337878,6.196,1390.17,5.509,1759034176,1782961316,"2025-09-28 04:36:16","2026-07-02 03:01:56"
STEAM_0:0:243368586,929631116044955648,KingOfPests,KingOfPests,rQ.K.o.p.iA,103,109,91189,1519.82,25.33,475,134104,427,744186,306697,4.612,1301.98,4.146,1758599141,1781067026,"2025-09-23 03:45:41","2026-06-10 04:50:26"
STEAM_0:0:90069,700890663385956393,wheaties,wheaties,rufi0,99,99,88575,1476.25,24.6,851,139076,595,903506,378051,8.596,1404.81,6.01,1760481325,1783128818,"2025-10-14 22:35:25","2026-07-04 01:33:38"
STEAM_0:1:59994,696155341951598649,"asie slater","asie slater",tiredrazor,99,104,92131,1535.52,25.59,594,133844,458,647823,277468,6.0,1351.96,4.626,1759020330,1782779979,"2025-09-28 00:45:30","2026-06-30 00:39:39"
STEAM_0:1:104939,797227925162033202,Naz,Naz,"etfc|. N a z",95,95,85232,1420.53,23.68,484,136402,549,748602,298850,5.095,1435.81,5.779,1759532989,1783124105,"2025-10-03 23:09:49","2026-07-04 00:15:05"
STEAM_0:1:1752496,291754504158838784,AuthenticNY,AuthenticNY,"AUTHENTIC [220]",85,87,46956,782.6,13.04,515,193700,733,740042,231225,6.059,2278.82,8.624,1759114506,1782531795,"2025-09-29 02:55:06","2026-06-27 03:43:15"
STEAM_0:1:45567960,737481545216163891,dullrazor,dullrazor,"|c4| dullrazor",76,100,81070,1351.17,22.52,786,107419,146,477166,401257,10.342,1413.41,1.921,1758599141,1781473903,"2025-09-23 03:45:41","2026-06-14 21:51:43"
STEAM_0:0:144175,1366425812458274888,Jagz,Jagz,"lil jagg3r",68,68,59062,984.37,16.41,357,90063,353,485935,217647,5.25,1324.46,5.191,1759773483,1783126439,"2025-10-06 17:58:03","2026-07-04 00:53:59"
STEAM_0:0:6409859,346077781819654144,NOOKIE,NOOKIE,NOOKIE,64,70,61649,1027.48,17.12,423,82403,227,464643,212631,6.609,1287.55,3.547,1758953282,1783044091,"2025-09-27 06:08:02","2026-07-03 02:01:31"
STEAM_0:1:68678,429379328053346314,dexterity,dexterity,walnut,62,62,55953,932.55,15.54,468,83731,346,466086,227141,7.548,1350.5,5.581,1759961486,1782951508,"2025-10-08 22:11:26","2026-07-02 00:18:28"
STEAM_0:1:3613037,270636499190546432,CheeseFromTFC,CheeseFromTFC,k,61,61,53183,886.38,14.77,556,120452,449,515296,331928,9.115,1974.62,7.361,1763361179,1782951508,"2025-11-17 06:32:59","2026-07-02 00:18:28"
STEAM_0:0:26635064,310929767673102337,DIVISION_WaGoNWh33L,DIVISION_WaGoNWh33L,{GTO}WaGGleS,60,60,38019,633.65,10.56,281,90088,330,362796,136787,4.683,1501.47,5.5,1759532989,1781134653,"2025-10-03 23:09:49","2026-06-10 23:37:33"
STEAM_0:1:54513044,717554114300739675,jas0n5477,jas0n5477,theycallme-jason,55,56,42397,706.62,11.78,349,71206,243,331518,166806,6.345,1294.65,4.418,1759721010,1782433850,"2025-10-06 03:23:30","2026-06-26 00:30:50"
STEAM_0:1:7258560,562854514860752897,SLICK,SLICK,[220]SLICK,53,61,40368,672.8,11.21,515,99432,289,417302,236202,9.717,1876.08,5.453,1758599141,1781585858,"2025-09-23 03:45:41","2026-06-16 04:57:38"
STEAM_0:0:116972,396870697915252746,RedAlert,RedAlert,RedAlert,52,53,46368,772.8,12.88,323,71768,245,404731,169364,6.212,1380.15,4.712,1758942947,1782777523,"2025-09-27 03:15:47","2026-06-29 23:58:43"
